task,v_mean,v_std
forward_1,0.9863723345331257,0.07743355150601414
forward_2,2.0079629448744956,0.06441605749803492
forward_3,3.0032469771457304,0.06529029391036142
forward_4,3.976359757561706,0.06729510658178715
forward_5,4.979447915866573,0.08476748686215153
forward_6,5.976016598421201,0.06377461756276537
forward_7,6.983124210799886,0.06481689114229364
forward_8,7.95469763020898,0.07341235003338763
forward_9,8.905323419366239,0.09013098020838355
jump,9.893251969307745,0.18881481790402646
